measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1995,80.85965022,224.0453334,-7.539389426
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1996,70539.73864,196947.3544,-6673.883816
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1996,110672.3526,306408.0893,-10312.59368
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1996,181212.0912,501720.8705,-16986.4775
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1996,0.246396946,0.473392072,-0.023058682
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1996,0.274745663,0.522742288,-0.026165163
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1996,0.262976644,0.503046257,-0.024871939
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1996,62.81042861,175.3670765,-5.942600739
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1996,101.2344412,280.2782356,-9.433156833
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1996,81.76385626,226.3791167,-7.664388702
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1997,74231.42714,206374.3583,-7086.788029
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1997,116399.232,321014.2651,-10886.23103
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1997,190630.6591,526669.4845,-17973.01906
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1997,0.250648527,0.47966869,-0.023635482
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1997,0.278479526,0.529669896,-0.026491576
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1997,0.266946568,0.509699744,-0.02530509
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1997,63.81992257,177.428834,-6.092813794
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1997,102.7679542,283.4209361,-9.611366609
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1997,83.03524288,229.4076345,-7.828719733
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1998,78241.41544,216530.0849,-7538.917093
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1998,122613.2368,339411.303,-11594.6647
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1998,200854.6522,555556.4256,-19133.58179
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1998,0.2552434,0.486874889,-0.024225666
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1998,0.282720391,0.537082086,-0.026984084
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1998,0.271350337,0.517086635,-0.025841686
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1998,64.83333176,179.4237329,-6.246987101
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1998,104.2389773,288.5486758,-9.857141219
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1998,84.28367269,233.1254737,-8.028932999
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1999,83511.72334,231447.9624,-8051.685214
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1999,131015.5262,362667.8786,-12433.57875
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,1999,214527.2495,593925.7502,-20485.26397
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1999,0.258900558,0.492793817,-0.024626917
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1999,0.286181662,0.543294458,-0.027335054
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,1999,0.274913366,0.52331698,-0.026216342
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1999,65.76263889,182.2573905,-6.340427979
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1999,105.8357128,292.9669067,-10.043975
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,1999,85.54365053,236.8304116,-8.168585883
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2000,88381.50275,244936.7351,-8570.667844
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2000,138702.4964,383745.9153,-13209.81939
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2000,227083.9992,628328.7783,-21780.48724
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2000,0.263471693,0.500240175,-0.025074474
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2000,0.290438302,0.550349976,-0.027807078
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2000,0.27931853,0.530933546,-0.026676169
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2000,66.94238995,185.5212904,-6.491641024
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2000,107.4427304,297.2600349,-10.23268578
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2000,86.96519126,240.6278407,-8.341161179
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2001,93997.30355,260476.5688,-9109.30862
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2001,147636.0926,406618.7457,-14163.3187
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2001,241633.3962,666741.1805,-23272.62732
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2001,0.26621117,0.505035448,-0.025294556
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2001,0.293189911,0.554214537,-0.027959184
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2001,0.282077151,0.534785406,-0.026860829
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2001,67.96335882,188.3337271,-6.586350746
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2001,108.7752493,299.588364,-10.43524314
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2001,88.17717977,243.3080769,-8.492678062
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2002,98676.90761,273032.4834,-9535.192537
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2002,154906.0388,429205.6657,-14957.33354
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2002,253582.9464,701329.4307,-24492.52608
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2002,0.267748481,0.507936074,-0.025446551
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2002,0.295219031,0.559242839,-0.028047299
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2002,0.283893,0.538891253,-0.026976436
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2002,69.10076495,191.1972509,-6.677236997
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2002,110.1929913,305.3170588,-10.63995527
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2002,89.48559735,247.4885789,-8.643043066
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2003,104131.8252,287330.3951,-10245.48046
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2003,163528.3671,453136.9753,-15894.48553
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2003,267660.1924,740408.5885,-26139.96599
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2003,0.269043428,0.511209027,-0.025672813
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2003,0.2971024,0.56223997,-0.028200413
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2003,0.285524328,0.542409373,-0.027157236
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2003,70.46280855,194.4276552,-6.932802018
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2003,111.9756077,310.2843198,-10.88370604
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2003,91.0960494,251.9922621,-8.896532623
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2004,109137.8101,301758.5259,-10723.16335
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2004,171307.7944,474444.6541,-16646.20666
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2004,280445.6045,774719.5467,-27369.37001
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2004,0.271050031,0.513983101,-0.025980731
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2004,0.299669346,0.565551063,-0.028506104
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2004,0.287848789,0.545943873,-0.027462015
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2004,71.8868091,198.7620745,-7.063125012
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2004,113.7896414,315.1455383,-11.05709109
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2004,92.75014395,256.2184906,-9.051712587
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2005,115541.7659,318789.7905,-11408.36582
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2005,181597.6348,502395.4679,-17622.9333
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2005,297139.4007,819226.8942,-29031.29913
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2005,0.272814149,0.518305573,-0.026098159
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2005,0.301924637,0.568746016,-0.028683716
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2005,0.289903564,0.549590744,-0.027614001
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2005,73.20791929,201.9870224,-7.228405399
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2005,115.880584,320.5872161,-11.2454978
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2005,94.46855872,260.4541295,-9.229826068
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2006,120706.3469,332510.5438,-11968.9322
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2006,190261.2845,522297.9278,-18395.68192
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2006,310967.6314,851989.0577,-30364.61412
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2006,0.276182139,0.523224189,-0.026480039
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2006,0.305467342,0.575455384,-0.029000496
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2006,0.293398851,0.555053115,-0.027956724
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2006,74.58742093,205.4664442,-7.39589762
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2006,118.3826219,324.9794002,-11.44599157
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2006,96.40933851,264.1422874,-9.413945586
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2007,125548.5949,344598.3419,-12543.04852
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2007,198584.1008,544590.5587,-19244.86115
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2007,324132.6957,887715.9598,-31787.90966
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2007,0.280170784,0.529138424,-0.026908787
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2007,0.309371976,0.583568344,-0.029403066
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,2,Percent,2007,0.297374341,0.561364903,-0.02837359
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2007,75.9741286,208.5292852,-7.590265603
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2007,120.9854344,331.7865078,-11.72474471
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,3,Rate,2007,98.40374087,269.5024983,-9.650520504
YLDs (Years Lived with Disability),1,Global,1,Male,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2008,129576.4596,355272.2445,-12890.93403
YLDs (Years Lived with Disability),1,Global,2,Female,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2008,205614.9854,557574.4767,-20144.83191
YLDs (Years Lived with Disability),1,Global,3,Both,15,50-54 years,1015,Osteoarthritis knee,108,High body-mass index,1,Number,2008,335191.4451,912677.2858,-33035.76594
